Tweet,Label
An Instagram post is claiming Covid Reliable9 tests tainted with coronavirus have been in circulation for many months,Unreliable
Philippines Senators Grace Poe and Risa Hontiveros have been silent over the coronavirus crisis but were very vocal about the closure of ABS CBN,Unreliable
The most important consequence of seeing COVID Reliable9 as a syndemic is to underline its social origins,Unreliable
The vulnerability of older citizens Black Asian and minority ethnic communities and key workers who are commonly poorly paid with fewer welfare protections,Unreliable
A video shows an Italian doctor who says that nobody died from coronavirus in Italy that it s not more dangerous than a flu,Unreliable
Seasonal influenza vaccination will be mandatory in Georgia this fall,Unreliable
COVID Reliable9 mortality rates are significantly lower than the fatalities caused by other viruses,Unreliable
There is a person with coronavirus in Galicia on 2 4 2Unreliable,Unreliable
Claim that the Jordanian Health minister says COVID Reliable9 is a conspiracy in a video,Unreliable
A precautionary message that one can catch fire due to hand sanitizer as it has a high amount of alcohol,Unreliable
The message also shows the hands of a lady who after applying sanitizer went near the stove and ended up burning her hands,Unreliable
Says Rudy Giuliani bought 2M in shares of Novartis a primary supplier of hydroxychloroquine in early February,Unreliable
A student from Pondicherry University in India has found a home remedy for COVID Reliable9 that has been accepted by World Health Organization WHO,Unreliable
Footballer Ronaldo is turning his hotels into COVID Reliable9 hospitals,Unreliable
President Trump Says Pandas Are Responsible For Covid Reliable9,Unreliable
This is an image of a suspected coronavirus vaccine causing COVID Reliable9,Unreliable
Camila Pitanga Brazilian actress contracted COVID Reliable9 but said she caught malaria so she could take chloroquine without admitting she was wrong,Unreliable
The new coronavirus causes sudden death syndrome,Unreliable
India has lost over 5UnreliableUnreliableUnreliableUnreliable individuals to coronavirus till date,Unreliable
In view of the rising coronavirus cases Bihar government extends lockdown in the state till 6 September,Unreliable
At Nationalist Congress Party chief Sharad Pawar s residence four people tested positive for coronavirus,Unreliable
Nasal flu vaccine side effects do not cause covid,Unreliable
India began screening passengers from COVIDReliable9 affected countries before it had a single case,Unreliable
PM Modi Fact The govt mandated universal screening of all internat l flights only on March 4 by when 27 cases had been detected across 5 Indian states,Unreliable
a MILITARY BIO WEAPON Developed by China s Army,Unreliable
In Indore India Police and doctors are injecting coronavirus positive blood in Muslims,Unreliable
Photo of a vaccine developed by U S scientists for COVID Reliable9,Unreliable
A video clip shows a doctor couple who died after treating Reliable34 COVID Reliable9 patients,Unreliable
Not one politician has died from the virus,Unreliable
Leaked Report Says There Are Too Many Humans On The Planet,Unreliable
India spraying pesticides at night to prevent COVID Reliable9,Unreliable
Home Ministry Has Declared That Posting On Coronavirus Has Been Declared A Punishable Offense,Unreliable
Free Coronavirus Test Kits Available To All,Unreliable
Scientists are expressing cautious optimism that a COVID Reliable9 vaccine can be ready to go by the late spring of 2Unreliable2Reliable although it s,Unreliable
unclear how much longer it would take to distribute the vaccine widely,Unreliable
Video shows the first infected patient of COVID Reliable9 at Dhanbad Hospital,Unreliable
Says Daniel Radcliffe has the coronavirus,Unreliable
This is how scientists believe coronavirus affects the body,Unreliable
Former Rep Trey Gowdy wrote essay past on social media claiming the COVID Reliable9 pandemic was planned to help Democrats in the 2Unreliable2Unreliable election,Unreliable
Product pages on are offering toxic chlorine dioxide an industrial bleach often sold under the name Miracle Mineral Solution as a covidReliable9 cure,Unreliable
Able to cure patient within 3 hours after injection,Unreliable
Right now Trump announced that Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready from it,Unreliable
This message requires confirmation,Unreliable
Covid is never going away,Unreliable
This is the beach today in Raleigh North Carolina,Unreliable
Pope Francis Dying Of The Coronavirus,Unreliable
People are offering prayers in groups on rooftops despite lockdown,Unreliable
That too when cases of coronavirus in India are continuously increasing,Unreliable
There are ReliableUnreliableUnreliableUnreliable open vacancies for nurses doctors and other health professionals to work on a temporary hospital in S o Paulo which will be used to treat COVID Reliable9 cases,Unreliable
A photo from the funeral of a recently deceased Sri Lankan politician Arumugam Thondaman has been shared thousands of times in multiple Facebook posts,Unreliable
The posts claim the image shows one of Thondaman s,Unreliable
daughters violated Sri Lanka s mandatory coronavirus quarantine policy for travelers by attending the ceremony shortly after returning to the country from overseas,Unreliable
While it is true that coronavirus can cause a sore throat and gargling with salt and warm water may make it feel better it has no direct effect on the virus,Unreliable
Indian politician Uddhav Thackeray has asked Christians to pray to Jesus to stop COVID Reliable9,Unreliable
There are 59 positive coronavirus cases in Nagpur along with three doctors one of whom is on ventilator,Unreliable
A photo shows people infected with coronavirus lying on the sidewalk in China,Unreliable
States like New York Illinois and California have been vocal in their demands for funding to bail out their pension systems which were failing long before the COVID Reliable9 outbreak and other programs that aren t related to this crisis,Unreliable
Anti vaxxers close to deciding which medical conditions they will pretend are caused by Coronavirus vaccine,Unreliable
WHO announces Algeria outside of danger regarding COVID Reliable9,Unreliable
Antibodies for the common cold produce a positive COVID Reliable9 test,Unreliable
False positive results from COVID Reliable9 antibody testing are behind the COVID Reliable9 cases reported in the U S,Unreliable
Man beaten in Deoria India in lockdown time,Unreliable
Photos show masses fleeing Myanmar for Thailand due to coronavirus pandemic,Unreliable
In the backdrop of the lockdown videos of wild animals taking over the roads are surfacing on the internet,Unreliable
Among them a set of pictures of a herd of deer is doing the rounds on social media claiming that these pictures are from Lake Club Chandigarh,Unreliable
Is there one or two trusted websites that you follow to provide a good summary and amp update on covid,Unreliable
I follow and he does a really good job,Unreliable
Recent video touted importance of Vitamin D and elderberry among other things,Unreliable
Sir Ganga Ram Hospital has directed patients to stay at home n treat Urself,Unreliable
Implies Delhi Govt has miserably failed in its administrative responsibility of providing health care n left the Delhites to their fate,Unreliable
Joe Diffie s death was labeled as a COVID Reliable9 death and it wasn t,Unreliable
A doctor named Leslie Chow discovered the coronavirus and died after contact with coronavirus patients,Unreliable
Says there is no COVID Reliable9 virus,Unreliable
Trump s effort to blame Obama for sluggish coronavirus testing,Unreliable
Public broadcast RTVE published a map of coronavirus cases in Spain that in fact was a map of penis average size in different regions,Unreliable
In an Aaj Tak news report the Chinese prime minister said Reading Quran and offering namaz is the only cure for COVID Reliable9,Unreliable
They ve Already Spent Ireland s Share Of EU s Reliable Trillion Covid Recovery Fund,Unreliable
What promises that a viable vaccine can be developed for COVID Reliable9 virus,Unreliable
So i think they should rehire Judith Mikovits who is a living scientific encyclopedia on viral research,Unreliable
She was involved with the scientific research that permitted,Unreliable
Nancy Pelosi Suggests That The Coronavirus C Reliable9 Be Renamed,Unreliable
The C 45 in Honor of President Trump,Unreliable
donaldtrump coronavirus mikepence maralago,Unreliable
Covid Reliable9 vaccine by Oxford university a success 72 people cured,Unreliable
This photo shows French nurses holding a sign to denounce police violence,Unreliable
WHO warns against consuming cabbage to prevent COVID Reliable9,Unreliable
With ReliableUnreliable576 new infections Maharashtra records highest single day spike in the state so far,Unreliable
Starting 2pm tomorrow Manipur to go under a complete lockdown for Reliable4 days,Unreliable
Bhopal in Madhya Pradesh to impose a city wide lockdown from July 24 to August 3,Unreliable
A WhatsApp forward attributed to CNN claims,Unreliable
Dr Li Wenliang the whistleblower of the Chinese government s propaganda about COVID Reliable9 has documented a research report,Unreliable
According to this report chemicals like Methylxanthine Theobromine and Theophylline stimulate compounds that can ward off this virus in a human body with at least an average performing immune system,Unreliable
We re debunking misinformation about coronavirus,Unreliable
Because hoaxes travel fast and the numbers and causes of this growing outbreak need clarification,Unreliable
Young people have a greater chance of being killed by the HPV vaccine than COVID Reliable9,Unreliable
There is no pandemic,Unreliable
Amoxi Capsule made in US is the only medicine that can completely cure COVID Reliable9,Unreliable
Egyptian Health Minister arrive in Italy with secret coronavirus cure,Unreliable
Dr Charles Lieber a Harvard professor has been arrested in the USA for manufacturing the coronavirus and selling it to China,Unreliable
A video news report from WCVB a TV station in Boston Massachusetts is shared with the Facebook post,Unreliable
Mountain Matterhorn in Switzerland was lit in three colours of Indian flag as a token of gratitude to India for sending Hydroxychloroquine,Unreliable
Al Azhar Imam said he is considering exceptions on Ramadan fasting as the research says that the mouth must be kept wet to prevent COVID Reliable9,Unreliable
Japanese Nobel Tasuku Honjo says coronavirus was created in the Wuhan laboratory,Unreliable
A man collapses in 5 minutes after showing COVID Reliable9 symptoms in India,Unreliable
Celebrities spreading misinformation about coronavirus and the Janata curfew in India,Unreliable
Multiple posts shared repeatedly on Facebook and Twitter since March 2Unreliable2Unreliable claim that Israel has reported zero deaths from the novel coronavirus which causes the disease COVID Reliable9,Unreliable
The posts also claim Israeli citizens have protected themselves from COVID Reliable9 by drinking a remedy of hot water lemon and baking soda which purportedly kills the virus,Unreliable
CDC suddenly lost 3UnreliableUnreliableUnreliableUnreliable deaths from coronavirus from its data thus proving the virus is not as serious as it seems,Unreliable
Photos of coronavirus patients being treated on the road in Italy,Unreliable
Indian actor Shah Rukh Khan donated money to Pakistan to fight coronavirus and did not help India at all,Unreliable
Russian President Vladimir Putin has ordered Russia s population to stay at home for Reliable5 days or face five years in jail,Unreliable
Indian Army has set up a ReliableUnreliableUnreliableUnreliable bed quarantine facility in Rajasthan s Barmer,Unreliable
Leonardo Da Vinci Hospital a COVID Reliable9 reference hospital in Fortaleza Brazil is empty,Unreliable
A video proves there was no one at the areas open to the public,Unreliable
President Trump s claim that he inherited no ventilators from the Obama administration,Unreliable
An audio where an unidentified person links the virus that causes COVID Reliable9 with the massive flu vaccination campaign,Unreliable
Black body bags being referred to as deaths in New York and the reason a lockdown is essential,Unreliable
Mustard oil prevents a person from getting infected with COVID Reliable9,Unreliable
North Carolina s health department is telling hospitals that if they decide to do elective surgeries they won t be eligible to receive protective equipment from the state,Unreliable
After coronavirus pandemic Chinese president said it s China s time to lead the world,Unreliable
The nurses that Boris Johnson claimed saved his life are not registered in the UK,Unreliable
A claim that India s Ministry of Home Affairs has made it a punishable offense for citizens to publish posts on social media about the novel coronavirus has been shared repeatedly on Facebook Twitter and WhatsApp,Unreliable
Says Nancy Pelosi was caught trying to include abortion funding in bill to combat coronavirus,Unreliable
A video of a man rebuking foreigners has been viewed thousands of times on social media alongside a claim that the Guinean government has ordered the arrest of all Chinese nationals in the country while awaiting the safe return of Guineans from China,Unreliable
The U S is the only country on earth that is protesting being locked down,Unreliable
making a nurse to touch the feet of a religious head in Viswabharathi Medical College who had to come to the COVID Reliable9 quarantine facility,Unreliable
New York State Governor shows data that proves that isolation is ineffective against COVID Reliable9,Unreliable
Homeopathic product Oscillococcinum protects against COVID Reliable9,Unreliable
CDC admitted to lying about COVID Reliable9 death stats,Unreliable
Notice for preparing emergency drugs was released on social media for alumni of Seoul National University College of Medicine,Unreliable
Belgian doctors turn their back on WHO director,Unreliable
Dr Li Wenliang the Chinese whistleblower doctor has proposed that drinking tea can cure COVID Reliable9,Unreliable
Any person arrested for violating lockdown in the night will not get bail until the lockdown is over in the state of Gujarat in India,Unreliable
US President Donald Trump tested positive for COVID Reliable9,Unreliable
A picture with a quote from doctor Vincenzo Puro who allegedly said that asymptomatic people cannot infect others that the virus is not lethal and that the pandemic is a hoax,Unreliable
Prince Charles recovered from COVID Reliable9 with the help of Ayurvedic treatment,Unreliable
A video shows a Superintendent of police announcing the extension of Lokckdown in Maharashtra India till May 3Unreliable,Unreliable
A WhatsApp audio claims that the Infanta Sof a Hospital in Madrid has Reliable5 children in serious condition due to COVID Reliable9 and that there are three other children in the Talavera de la Reina Hospital,Unreliable
Video shows coronavirus patients and doctors,Unreliable
A video claims to show that the Nigerian government has spent US 2 million to import Chinese doctors and supplies,Unreliable
Riots in London due to the unavailability of food items,Unreliable
The United Kingdom will be locked down by tonight,Unreliable
Army soldiers take to the UK streets,Unreliable
A set of claims passed as instructions to be followed during the COVID Reliable9 pandemic period,Unreliable
Facebook post claims that the Latvian app Apturi Covid Stop Covid which was created to warn people who have been close to an infected person will be used so the government can track all the people from the contact list and record their locations,Unreliable
Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID Reliable9,Unreliable
President Donald Trump tweeted Coronavirus vaccine from Israel,Unreliable
Economy even stronger now,Unreliable
Besides US Israel best at inventions Judaism olives,Unreliable
Wonderful vaccine will stop Corona DEAD around world,Unreliable
Can t make vaccines when being bombed not have been possible without peace I created in Israel,Unreliable
Italy official Giulio Gallera China lies to us,Unreliable
The date China provided is false,Unreliable
Italy has become Wuhan and the medical system has a breakdown,Unreliable
Jo o Doria governor of S o Paulo forbade doctors to give chloroquine to COVID Reliable9 patients,Unreliable
A blog post has been shared thousands of times in multiple Facebook posts which claim it shows a video of a baby who died after being infected with the novel coronavirus which causes the disease COVID Reliable9,Unreliable
A vaccine for coronavirus was available since 2UnreliableUnreliableReliable,Unreliable
Video showing policemen picking banknotes with sticks linking it with coronavirus,Unreliable
We can t make a vaccine that works for flu no vaccine for the respiratory syncytial virus RSV and we can t cure cancer,Unreliable
Yet somehow scientists can make a vaccine for COVID Reliable9 in six months,Unreliable
Mumbai and Pune is going under military lockdown,Unreliable
What we need to do to defeat the coronavirus is to consume more alkaline foods above the virus pH level,Unreliable
Indian Actor Aamir Khan gives Rs,Unreliable
Reliable5UnreliableUnreliableUnreliable to poor people in ReliableKg wheat flour,Unreliable
The photo shows the funeral of Turkish deceased general Aytac Yalman due to COVID Reliable9,Unreliable
The coronavirus responsible for COVID Reliable9 is a mix of SARS and HIV,Unreliable
Two doctors in Bakersfield California said at a press conference that isolation measures affect the immune system and that unrestrictive controls in countries like Sweden have worked,Unreliable
Article says that the Vatican confirmed that the Pope and two assistants have coronavirus,Unreliable
Herbal tea made of malunggay and kamias leaves is a cure for COVID Reliable9 the disease caused by the novel coronavirus,Unreliable
A video of police officers immobilizing a screaming woman,Unreliable
The caption states that they were being beaten by the police because they refuse to go to their houses during lockdown in Minas Gerais Brazil,Unreliable
Cuba s low number of COVID Reliable9 deaths is due to its use of hydroxychloroquine to treat patients,Unreliable
A video of the doctor linked to the anti vaccine movement Chinda Brandolino on the origin of COVID Reliable9,Unreliable
There is a confirmed case of coronavirus in a Bogot hospital,Unreliable
A video showing migrant laborers from Surat city in India are being sent back to Surat after their home states refused to take them back at the state border,Unreliable
Ohio Gov Mike DeWine released 43UnreliableUnreliable prisoners and is now warning residents of a possible crime wave,Unreliable
It s not a virus but 5G that is causing disease and deaths,Unreliable
An arrest by the Federal Bureau of Investigation FBI of a professor who had ties to China is connected to the coronavirus pandemic,Unreliable
A photo of a list of purported symptoms and treatments for the novel coronavirus which causes the disease COVID Reliable9 has been shared hundreds of times in multiple posts on Facebook Twitter and Instagram,Unreliable
The purported remedies include a daily dose of vitamins exposure to sunlight and a diet of alkaline foods,Unreliable
Police catches coronavirus positive patient on the road,Unreliable
In the 3Unreliable second viral video a man lifts his shirt and challenges aa police officer who is pointing a gun at him,Unreliable
Another police officer kicks the man from behind pins him down on the road and makes an arrest,Unreliable
Italy says lockdown they mean it,Unreliable
Coronavirus was spread via bananas,Unreliable
China president xi jinping visited masjid and request Muslims for dua in present crisis country going through we need your help,Unreliable
In this video italian representative Sara Cunial tells the truth about Bill Gates and its will to control world population through vaccines and medical experiment,Unreliable
A message is circulating claiming that Kins of those who died of COVID Reliable9 can claim insurance under Pradhan Mantri Jeevan Jyoti Bima Yojana PMJJBY and amp Pradhan Mantri Suraksha Bima Yojana PMSBY,Unreliable
Nevada quietly reversed its decision to block HCQ prescriptions for COVID Reliable9,Unreliable
If people saw this they would stay home,Unreliable
HORRIBLE StayHome StayAtHome,Unreliable
StaySafe NYC NYCLockdown FridayFeeling,Unreliable
Never had flu vaccine never had flu,Unreliable
I know who got flu vaccine also got flu,Unreliable
Reliablest person knowledge not conjecture,Unreliable
Alt Organic dk greens protein exercise H2O sodium bicarbonate D3 C iodine etc,Unreliable
Greatest ever was is will be,Unreliable
Just watch this video and remember that incident when Zomato s Deepinder made a big deal out of someone refusing a delivery from a Muslim guy,Unreliable
There have been so many incidents that you just can t trust them,Unreliable
Who wants to eat food contaminated with spit,Unreliable
For the World Health Organization the international entity whose sole responsibility it is to alert the world of global pandemics like this to miss this is a huge problem,Unreliable
It puts the facemask on the skin or it gets the lockdown again,Unreliable
Get yours HERE and gt and gt and gt,Unreliable
Madhya Pradesh is reimposing lockdown due to rise in COVID cases,Unreliable
The Simpsons predicted the new coronavirus outbreak,Unreliable
Bollywood Actress Aishwarya Rai To Host A Coronavirus Telethon Auction in Mumbai,Unreliable
Indian media outlets claimed that a man in Madhya Pradesh s Khargone passed away from COVID Reliable9,Unreliable
The Tunisian President Qais Said has ordered the dispatch of a medical delegation to Algeria to help it fight Coved Reliable9,Unreliable
Observation South Africa is hit hard by TB,Unreliable
Worst Corona stats in Africa which otherwise do great using anti malarial and Ivermectin routinely another observation,Unreliable
Well much better than US and U K for sure,Unreliable
President Donald Trump attending the recital of Quran verses to fight coronavirus,Unreliable
ibuprofen can make coronavirus COVID Reliable9 worse,Unreliable
Vila Formosa s cemitery in S o Paulo Brazil is opening graves to cause panic on population but there are no burials The graves remain open,Unreliable
Iranians have published a report saying that coronavirus is a biological warfare,Unreliable
Canada s top BDSM doctor says wear a mask leash tight leather to prevent spread of COVID Reliable9 cdnpoli COVIDReliable9,Unreliable
Open admission of using Covid Reliable9 as bioweapon,Unreliable
Claims made in the viral video Plandemic include that the virus was manipulated in a laboratory setting that hydroxychloroquine is effective against these families of viruses and that wearing a mask activates the virus,Unreliable
Reese Witherspoon s Julia Roberts And Mila Kunis Marriages Suffering Under Coronavirus Quarantine,Unreliable
Wisconsin Governor Tony Evers administration deemed dentists non essential,Unreliable
AIIMS Indian medical institute team has said that Toddy has medicinal properties to cure coronavirus,Unreliable
From a progress report on COVID Reliable9 in the journal Nature,Unreliable
Researchers used Vero cells which do not express TMPRSS2 in an early study that suggested that the drug chloroquine might work as a treatment for COVID Reliable9,Unreliable
A government minister claims that Papad help produce antibodies to fight COVID Reliable9 infection,Unreliable
After all the depressing news came across something so true and motivating,Unreliable
My level of respect for Mr Ratan Tata is inexplicable,Unreliable
Tuberculosis TB has a higher death rate than coronavirus,Unreliable
The Centers for Disease Control and Prevention applied for an illegal patent related to the virus that causes SARS,Unreliable
Trump announced that Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready from it,Unreliable
We re starting to see evidence that long term exposure to air pollution which disproportionately affects communities of color and amp low income communities is linked to COVID Reliable9 death rates,Unreliable
It s past time we treat pollution like the threat to our health it is,Unreliable
A video about the coronavirus circulates in WhatsApp,Unreliable
that when opened hacks the cell phone in ReliableUnreliable seconds,Unreliable
Every worker on the front lines of the fight against COVID Reliable9 deserves protections and accommodations that keep them and their families safe,Unreliable
I m glad to see states stepping up to support folks employers must do the same,Unreliable
In Latest Move to Stop Coronavirus Trump Urges Fed to Cut Interest Rates His Heavily Indebted Company Pays,Unreliable
Govt is providing money to bereaved families of COVID Reliable9 victims,Unreliable
You should also high dose with Vitamin D Extensive clinical evidence that sufficient Vitamin D reduces severity of Covid Reliable9,Unreliable
Hospital protocol for Covid Reliable9 in France to immediately test for and treat Vit D deficiency,Unreliable
Chronic Vit D deficiency in Ireland why no public campaign,Unreliable
Loss of taste added to COVID Reliable9 symptoms as government recommends self isolation for anyone who recently enjoyed Mrs Brown s Boys,Unreliable
Colombia is the country with less cases and deaths for coronavirus per inhabitant in America,Unreliable
coronavirus travel vacation list,Unreliable
is from a Michigan coronavirus protest,Unreliable
Pictures of people stranded on hospital beds claimed to be Italians not coping with the pressures of COVID Reliable9 cases India should learn from Italy s mistakes and not step out of the house in the 2Reliable day lockdown,Unreliable
Some of the worst viral disease outbreaks in recent years SARS Ebola and likely coronavirus originated in bats a new study has proposed an answer to why diseases that originate in bats are so deadly,Unreliable
Covid Reliable9 totally confused about what it s allowed to do where,Unreliable
Image of COVID Reliable9 infected Indonesian doctor Hadio Ali watching his daughters from a distance as he bids them final goodbye the image is said to be posted by his wife,Unreliable
Schedules for the sale of milk newspapers grocery and medical stores have been issued by the Mumbai Police commissioner,Unreliable
Mixing aspirin paracetamol honey and lemon cures COVID Reliable9,Unreliable
Six coronavirus cases confirmed in Wichita Kansas,Unreliable
The Chairman of the Republican Party of Texas said the recovery rate for COVID Reliable9 is 99 9 in Texas,Unreliable
The departament of Guaviare in Colombia has ReliableUnreliable cases of coronavirus,Unreliable
The governor of Sao Paulo contracted COVID Reliable9 after being vaccinated with the Sinovac Biotech vaccine,Unreliable
Iranian Islamic medicine specialist claims camel urine cures coronavirus infections iran,Unreliable
The WHO confirmed asymptomatic persons can t transmit the coronavirus and are not infectious,Unreliable
It s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re elected,Unreliable
A few business closures or job losses is a small price to pay to be free from his presidency,Unreliable
Video clip of a massive stadium converted into a graveyard claimed to be scenes from Italy related to the ongoing COVID Reliable9 outbreak,Unreliable
Bollywoof actor Aamir Khan has anonymously donated Rs Reliable5UnreliableUnreliableUnreliable to people living in a slum,Unreliable
Patients who die in hospitals are intubated to explode their lungs,Unreliable
An Instagram post is claiming Covid Reliable9 tests tainted with coronavirus have been in circulation for many months,Unreliable
While addressing the nation PM Mahinda Rajapaksa stated that opposition did not support the supplementary budget proposal for COVID Reliable9 relief measures hence there is no point in reconvening the Parliament,Unreliable
US carriers catching fire magickly,Unreliable
Chinese gunsupplies cached in US CN testing TW waters and airspace rioting in the US suddenly just in right time doctor dieing after confirming Corona is a chinese bioweapon,Unreliable
Nobody north of Watford has caught Coronavirus because they re too hard,Unreliable
Mouthwash kills and cures the new coronavirus,Unreliable
Congress MP Dr Shashi Tharoor praised LDF government in Kerala India for their COVID Reliable9 relief work,Unreliable
Social media posts claim that actors were caught in the act staging fake COVID Reliable9 cases,Unreliable
Coronavirus can be transmitted through imported goods,Unreliable
There has been no death due to COVID Reliable9 in Israel as they mix lemon and baking soda in their tea,Unreliable
This combination kills coronavirus,Unreliable
Trump blamed the Barack Obama administration for making a decision that delayed COVID Reliable9 testing by the Trump administration,Unreliable
Chinese not allowed in supermarket,Unreliable
It s started in Australia,Unreliable
FACTCHECK has repeatedly said that a vaccine of COVID2UnreliableReliable9 is not yet available,Unreliable
Yet FakeNews keeps emerging,Unreliable
Here is Factchecking one more such claim,Unreliable
The memorandum requires states to enter a financial agreement with the federal government and pick up 25 of the tab or ReliableUnreliableUnreliable for each person a provision that was criticized by governors as many states continue to struggle financially due to COVID Reliable9,Unreliable
Violating lock down is COMMON for politicians,Unreliable
During d pandemic Gujarati 2nd Worst Flying to a flame,Unreliable
The first test results for the Moderna vaccine are disappointing,Unreliable
A post claims studies show the flu shot will increase a person s susceptibility to COVID Reliable9,Unreliable
59 people die as pastor gives them dettol to drink in church to prevent coronavirus,Unreliable
All vegetarian Sanatan Dharmis only need little care about Social Distancing and enjoy long healthy life,Unreliable
Condom Sales Are At An All Time High,Unreliable
A message claiming that posting anything related to coronavirus on social media has been declared a punishable offence has been doing rounds on various messaging apps,Unreliable
Seen those pictures of dolphins and swans returning to Venice s canals,Unreliable
They ve been debunked Today,Unreliable
we launch CoronaCheck a newsletter with the latest debunked COVID Reliable9 misinformation from around the world,Unreliable
factcheck CoronaVirusFacts DatosCoronaVirus,Unreliable
Neil Diamond Says He is Altering the Words to Sweet Caroline to Help in the Fight Against COVID Reliable9,Unreliable
93 of the COVID Reliable9 cases in the state of Illinois have come from Chicago,Unreliable
The novel coronavirus can be cured by one bowl of freshly boiled garlic,Unreliable
Feeling worried about the coronavirus,Unreliable
Take the homeopathic remedy Arsenicum 3UnreliableC once if there are many cases in your area and you will feelbetter It might even keep you safe,Unreliable
In Reliable986 the founder of the Times Square Church prophesied that he saw,Unreliable
a plague coming on the world and the bars and church and government will shut down,Unreliable
Fox News is Reporting That Several of its Employees Now Have The C Reliable9 Virus,Unreliable
The Philippines does not have the fastest rising number of COVID Reliable9 cases in the Western Pacific Region as classified by the World Health Organization,Unreliable
TV Globo used images of a collective funeral for the victims of a shipwreck in Lampedusa in 2UnreliableReliable3 to illustrate a story about deaths by COVID Reliable9 in Italy,Unreliable
You can prevent COVID Reliable9 by avoiding cold drinks night baths soda and sweets,Unreliable
Turmeric and lemon are two simple cheap and handy things you can use regularly to fight CoronaVirus Homemade rasam is also very useful,Unreliable
A video has been viewed millions of times in multiple posts on Facebook Weibo and Twitter alongside a claim it shows US Vice President Mike Pence delivering empty boxes to a hospital for a publicity stunt during the coronavirus crisis,Unreliable
The claim gained traction online after the the clip was aired on the US television show Jimmy Kimmel Live,Unreliable
Spraying from the air triggers chemtrails chemical trails lung problems,Unreliable
New York schools add a COVID Reliable9 vaccine to the mandatory school schedule,Unreliable
A Pentagon study found that people who get the flu vaccine are 36 more likely to get COVID Reliable9,Unreliable
In India they are prescribing antihistamines daily as part of their routine prescriptions for home management of mild covid,Unreliable
CoronaCheck Are Victoria s recent COVIDReliable9 outbreaks related to the Black Lives Matter protests,Unreliable
